[28, 28, 28, 28, 27, 26, 25, 24, 23, 23, 22, 21, 20, 20, 19, 18, 17, 16, 15, 15, 14, 13, 12, 12, 11, 11, 11, 10, 9, 8, 7, 6, 5, 4, 4, 3, 2, 2]
[9, 8, 7, 6, 6, 6, 6, 6, 6, 7, 7, 7, 7, 8, 8, 8, 8, 8, 8, 7, 7, 7, 7, 6, 6, 5, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 2]
[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 10, 10, 10, 10, 10, 10, 10, 1, 1, 10, 10, 10, 10, 10]
[10, 10, -2, 10, 10, 10, 10, 10, 10, 5, 5, 5, 1, 1, 5, 5, 5, 5, 5, 5, 1, 1, 5, 5, 10, 10, 10, 10, 10, 10, 10, 10, 1, 1, 10, 10, 10, 10, 10, 10]
[10, 10, 10, 10, 10, 10, 5, 5, 5, 5, 5, 1, 1, 5, 5, 5, 5, 5, 5, 1, 1, 5, 5, 5, 10, 10, 10, 10, 1, 1, 1, 1, 1, 10, 10, 10, 10, 10, 10, 10]
[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 1, 1, 1, 1, 5, 5, 5, 10, 10, 10, 10, 1, 1, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]
[5, 5, 5, 5, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 5, 5, 5, 5, 10, 10, 10, 10, 1, 1, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]
[5, 5, 5, 5, 1, 1, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 10, 10, 10, 10, 10, 10, 1, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]
[5, 5, 5, 1, 1, 5, 5, 5, 5, 5, 5, 1, 1, 5, 5, 5, 5, 5, 5, 10, 10, 10, 10, 1, 1, 1, 1, 1, 1, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]
[5, 5, 1, 1, 5, 5, 5, 10, 10, 5, 5, 5, 1, 1, 1, 1, 5, 5, 10, 10, 1, 1, 1, 1, 10, 1, 10, 10, 1, 1, 1, 1, 1, 10, 10, 10, 10, 10, 10, 10]
[5, 5, 1, 5, 5, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 1, 1, 1, 1, 1, 1, 10, 10, 10, 10, 1, 10, 10, 10, 10, 10, 10, 1, 1, 10, 10, 10, 10, 10, 10]
[5, 5, 1, 5, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 1, 10, 10, -3, 10, 10, 10, 10, 1, 1, 10, 10, 10, 10, 10]
